script,avg_energy_uj,avg_runtime_s,LOC,CC_total,CC_avg,CC_max,halstead_volume,maintainability_index,code_smells,avg_energy_uj_pct_change,avg_runtime_s_pct_change,LOC_pct_change,CC_total_pct_change,CC_avg_pct_change,CC_max_pct_change,halstead_volume_pct_change,maintainability_index_pct_change,code_smells_pct_change
gpt_multi_kd_tree.py,2606304.2,0.251912978803739,70,14,2.33,5,256.46,41.0,0,-45.84,-46.68,16.67,7.69,7.37,0.0,14.57,-4.67,
gpt_stagedcg_kd_tree.py,2624968.8,0.2489770614076406,70,18,3.6,11,348.24,39.53,0,-45.45,-47.3,16.67,38.46,65.9,120.0,55.57,-8.09,
gpt_stagedgc_kd_tree.py,2614300.4,0.2474619674030691,72,14,2.33,5,258.5,40.71,0,-45.68,-47.62,20.0,7.69,7.37,0.0,15.48,-5.35,
llama_clean_kd_tree.py,4740332.2,0.4721601070137694,60,13,2.17,5,221.95,43.03,0,-1.5,-0.06,0.0,0.0,0.0,0.0,-0.85,0.05,
llama_green_kd_tree.py,4779944.0,0.4719582134159282,60,13,2.17,5,223.85,43.01,0,-0.67,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,
llama_multi_kd_tree.py,4747973.6,0.4718673862051218,60,13,2.17,5,223.85,43.01,0,-1.34,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,
llama_stagedcg_kd_tree.py,4780737.4,0.4718422187841497,60,13,2.17,5,221.95,43.03,0,-0.66,-0.12,0.0,0.0,0.0,0.0,-0.85,0.05,
llama_stagedgc_kd_tree.py,4813220.4,0.4721581818186678,60,13,2.17,5,223.85,43.01,0,0.02,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,
qwen_clean_kd_tree.py,5121495.4,0.4719136365922168,64,13,2.17,5,242.99,42.15,0,6.42,-0.11,6.67,0.0,0.0,0.0,8.55,-2.0,
qwen_green_kd_tree.py,4800793.4,0.4718551310012117,63,13,2.17,5,254.37,42.16,0,-0.24,-0.12,5.0,0.0,0.0,0.0,13.63,-1.98,
qwen_multi_kd_tree.py,4782165.8,0.4719389268080703,62,13,2.17,5,221.95,42.72,0,-0.63,-0.1,3.33,0.0,0.0,0.0,-0.85,-0.67,
qwen_stagedcg_kd_tree.py,5192772.2,0.4720952911884524,64,13,2.17,5,256.46,41.98,0,7.9,-0.07,6.67,0.0,0.0,0.0,14.57,-2.39,
qwen_stagedgc_kd_tree.py,4767822.6,0.4716887884074822,61,13,2.17,5,232.85,42.73,0,-0.93,-0.16,1.67,0.0,0.0,0.0,4.02,-0.65,
,,,,,,,,,,,,,,,,,,
longest_increasing.py,2659832.0,0.2470030262076761,74,26,3.71,5,1094.04,34.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_longest_increasing.py,2638604.2,0.2629468778031878,64,21,2.62,5,676.1,37.96,2,-0.8,6.45,-13.51,-19.23,-29.38,0.0,-38.2,10.19,
deepseek_green_longest_increasing.py,2578558.0,0.2450430328084621,72,23,7.67,13,560.17,37.15,0,-3.06,-0.79,-2.7,-11.54,106.74,160.0,-48.8,7.84,
deepseek_multi_longest_increasing.py,2644560.8,0.2530703175929375,66,22,2.75,5,693.36,37.46,4,-0.57,2.46,-10.81,-15.38,-25.88,0.0,-36.62,8.74,
deepseek_stagedcg_longest_increasing.py,2652483.4,0.2514267801947426,72,22,3.67,6,564.39,37.26,0,-0.28,1.79,-2.7,-15.38,-1.08,20.0,-48.41,8.16,
deepseek_stagedgc_longest_increasing.py,2633086.4,0.2477630983979906,72,21,3.5,5,491.35,37.81,0,-1.01,0.31,-2.7,-19.23,-5.66,0.0,-55.09,9.75,
gpt_clean_longest_increasing.py,2647161.4,0.2425124272005632,64,21,3.5,5,623.56,38.21,4,-0.48,-1.82,-13.51,-19.23,-5.66,0.0,-43.0,10.91,
gpt_green_longest_increasing.py,2619378.0,0.2425227947998792,92,30,6.0,7,729.23,33.08,0,-1.52,-1.81,24.32,15.38,61.73,40.0,-33.35,-3.98,
